id_business,name,#_reviews,address,#_stars
0,Version Originale,56,25 bis rue du Temple,4
1,Café du Palais,27,14 Place Myron Herrick,4
2,Les Cornichons,23,13 rue du Général Sarrail,4
3,Vapeurs et Gourmandises,13,22 place du Forum,4
4,Restaurant Café de la Paix,28,25 place Drouet d'Erlon,4
5,L’Antica,17,48 Rue Chanzy,4
6,Anna-S La Table Amoureuse,31,6 Rue Gambetta,4
7,La Cantine du Coq,2,3 rue des Élus,4
8,L’Opera,2,4 cours Jean-Baptiste Langlet,4
9,Le Millénaire,41,4 Rue Bertin,4
10,Le Comptoir du Boeuf,1,38 rue des Élus,4
11,Au Bureau,29,9 place du Cardinal Luçon,3
12,Le Tablier,6,30-32 place Drouet d'Erlon,4
13,Le Boulingrin,25,31 rue de Mars,4
14,Cru Chanzy,10,12 rue Chanzy,3
15,Bistrot 31,1,1A place Martyrs de la Résistance,5
16,La Villa,6,30 rue de Mars,4
17,Les Halles 1924,3,48 rue de Mars,4
18,Mamie Cook,1,56 rue Chanzy,5
19,L’Alambic,18,63 bis rue de Chativesle,4
20,Che Diego,5,2 bd Jules César,4
21,En Appart’Thé,7,23 rue de Chanzy,4
22,Brasserie l’Affaire,11,23 rue du temple,3
23,Le Grand Comptoir,1,2 bd Louis Roederer,5
24,La Casafa,3,55 rue Ponsardin,4
25,Le Pré Carré,9,1 rue Jean Jacques Rousseau,4
26,Le Gaulois,51,2 place Drouet d'Erlon,3
27,Le Bocal,10,27 rue de Mars,4
28,Au Plat du Jour,11,217 Rue du Barbâtre,4
29,Harold,2,27 rue de Vesle,4
30,L’Édito,29,80 place Drouet d'Erlon,3
31,Sacré Burger,3,24 rue de Tambour,4
32,Chez P’tit Viet,2,11 rue Condorcet,4
33,La Casa D’urso,13,1 Rue Barbatre,4
34,La Médina,13,13 Rue Chativesle,4
35,Au Cul de Poule,25,46 boulevard Carteret,4
36,La Storia,3,66 ave Jean Jaurès,3
37,Food Avenue,4,77 place d'Erlon,4
38,Il gusto,13,48 Rue Dieu Lumière,4
39,Le Thiers,3,22 Rue Thiers,4
40,Le Thiers,3,22 Rue Thiers,4
41,Le Piazza,61,39 rue du Colonel Fabien,4
42,Au Petit Comptoir,23,17 rue de Mars,4
43,Les Crayères - Le Parc,8,64 bd Henry Vasnier,5
44,Le Foch,21,37 bd Foch,4
45,Coté Cuisine,40,43 boulevard Foch,4
46,Le Saint Julien,3,47 rue Eugène-Desteuque,3
47,Racine,3,6 place Godinot,3
48,Da Nello,4,39 rue Cérès,4
49,Restaurant Samjia,2,32 rue Colbert,4
50,Les Cocottes du Cul de Poule,1,70 rue Cernay,5
